ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,AREA_SQKM
A Buon Leu,KH110202,,,,Kaoh Nheaek,KH1102,Mondul Kiri,KH11,Cambodia,KH,653.4503174
Achar Leak,KH060309,,,,Stueng Saen,KH0603,Kampong Thom,KH06,Cambodia,KH,6.268069744
Aekakpheap,KH160603,,,,Ou Chum,KH1606,Ratanak Kiri,KH16,Cambodia,KH,23.73985291
Akphivoadth,KH040801,,,,Tuek Phos,KH0408,Kampong Chhnang,KH04,Cambodia,KH,67.01502228
Akreiy Ksatr,KH080601,,,,Lvea Aem,KH0806,Kandal,KH08,Cambodia,KH,15.72678471
Amleang,KH050801,,,,Thpong,KH0508,Kampong Speu,KH05,Cambodia,KH,243.3950958
Ampil,KH030601,,,,Kampong Siem,KH0306,Kampong Cham,KH03,Cambodia,KH,27.44750214
Ampil,KH171011,,,,Siem Reap,KH1710,Siemreap,KH17,Cambodia,KH,55.60217667
Ampil,KH200401,,,,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,55.07974243
Ampil,KH220201,,,,Banteay Ampil,KH2202,Oddar Meanchey,KH22,Cambodia,KH,364.5556641
Ampil Krau,KH141201,,,,Sithor Kandal,KH1412,Prey Veng,KH14,Cambodia,KH,36.74080276
Ampil Pram Daeum,KH020405,,,,Bavel,KH0204,Battambang,KH02,Cambodia,KH,162.7225189
Ampil Ta Pok,KH250401,,,,Ou Reang Ov,KH2504,Tboung Khmum,KH25,Cambodia,KH,27.15592384
Ampil Tuek,KH040501,,,,Kampong Tralach,KH0405,Kampong Chhnang,KH04,Cambodia,KH,109.4784393
Ampov Prey,KH080101,,,,Kandal Stueng,KH0801,Kandal,KH08,Cambodia,KH,13.70770836
Andaeuk Haeb,KH020702,,,,Rotonak Mondol,KH0207,Battambang,KH02,Cambodia,KH,121.3319931
Andoung Khmer,KH070804,,,,Kampot,KH0708,Kampot,KH07,Cambodia,KH,26.26494217
Andoung Pou,KH060112,,,,Baray,KH0601,Kampong Thom,KH06,Cambodia,KH,25.27022552
Andoung Pou,KH200402,,,,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,26.75672913
Andoung Snay,KH040601,,,,Rolea B'ier,KH0406,Kampong Chhnang,KH04,Cambodia,KH,37.96245956
Andoung Thma,KH180201,,,,Prey Nob,KH1802,Preah Sihanouk,KH18,Cambodia,KH,49.05202866
Andoung Trabaek,KH200403,,,,Romeas Haek,KH2004,Svay Rieng,KH20,Cambodia,KH,47.30049133
Andoung Tuek,KH090101,,,,Botum Sakor,KH0901,Koh Kong,KH09,Cambodia,KH,408.8415222
